Topic Number,Title,Branch Number,Turn Number,Raw Utterance,Manual Utterance,Information Need
132,Climate Change,1,1,"I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was it about?","I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?",Overview of COP26 in Glasgow
132,Climate Change,1,3,Interesting. What are the effects of these changes?,Interesting. What are the effects of these climate changes?,The effects of climate changes on the world
132,Climate Change,1,5,That’s rather vague. Can you be more specific?,That’s rather vague. Can you be more specific about the effects of climate change?,The effects of climate changes on the world
132,Climate Change,1,7,"Woah. They’re not all bad, right?","Woah. The effects of climate change are not all bad, right?",Positive effects of climate change
132,Climate Change,2,1,That’s interesting. Tell me more.,That’s interesting. Tell me more about how climate change affects developing countries.,The effects of climate change on developing countries
132,Climate Change,2,3,"Okay, but how does it affect developing countries?","Okay, but how does climate change affect developing countries?",The effects of climate change on developing countries
132,Climate Change,2,5,How are developed countries helping with that?,How are developed countries helping developing countries adapt to climate change?,How developed countries help developing countries adjust to climate change
132,Climate Change,2,7,Are they meeting them?,Are developed countries meeting their pledges to provide climate financial support to developing countries in the Paris Agreement?,Pledges by developed countries to provide financial support to developing countries through the Paris agreement
132,Climate Change,2,9,"That’s not too relevant to my question. By the way, is that related to last year’s conference?","That’s not too relevant to my question. By the way, is the Paris Agreement related to COP26 in Glasgow?",The relationship between the Paris Agreement and COP26
132,Climate Change,2,11,So what happens at each COP?,So what happens at each Conference of Parties?,An overview of events at each Conference of Parties
132,Climate Change,2,13,How are the two different?,How are the Kyoto Protocol and Paris Agreement different?,Difference between the Kyoto Protocol and the Paris Agreement
132,Climate Change,3,1,Why?,Why did President Trump intend to withdraw the US from the Paris Agreement?,US Withdrawal from Paris Agreement
132,Climate Change,3,3,How did other parties respond?,How did other parties to the Paris Agreement feel about Trump’s intention of withdrawing the US from it?,Response to the US' Withdrawal from the Paris Agreement
132,Climate Change,3,5,Where does the US stand now that Biden is president?,Where does the US stand on the Paris Agreement now that Biden is the President?,US' stance on Paris Agreement with Joe Biden as President
132,Climate Change,3,7,And how are they doing?,How is Biden's administration doing in regards to achieving its emissions targets?,Performance of the Biden administration in achieving it's emission targets
133,Homemade Beauty Pampers,1,1,I’d like to appreciate my mom by making her a pamper pack. What do you put in one?,I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,The contents of a beauty pamper pack
133,Homemade Beauty Pampers,1,3,Can I make them at home?,Can I make the beauty products at home?,Making beauty products at home
133,Homemade Beauty Pampers,1,5,I’ve never done something like this before. Can you tell me how to make one?,I’ve never made a beauty product at home before. Can you tell me how to make one?,Making beauty products at home
133,Homemade Beauty Pampers,1,7,How much would this cost?,How much would making my own deodorant cost?,The cost of making a homemade deodorant
133,Homemade Beauty Pampers,2,1,Can you tell me how to make the first one at home?,Can you tell me how to make a body scrub at home?,Making a body scrub at home
133,Homemade Beauty Pampers,2,3,Cool. What about the second one?,Cool. Can you tell me how to make a moisturizer at home?,Making a moisturizer at home
133,Homemade Beauty Pampers,3,2,"My mum loves a good, scented lotion. Let’s make that","My mum loves a good, scented lotion. Let’s make that",How to make a homemade scented lotion
133,Homemade Beauty Pampers,3,4,I need more information about the first step,I need more information about purchasing an unscented lotion base,How to purchase an unscented lotion base
133,Homemade Beauty Pampers,3,6,What types of essential oils should I consider?,What types of essential oils should I consider when making my own scented lotion?,The best essential oils for homemade scented lotion
133,Homemade Beauty Pampers,3,8,"Okay, so how do I mix them?","Okay, so how do I mix the unscented lotion and the essential oils?",How to mix unscented lotion and essential oils when making scented lotion
134,Buying a Phone,1,1,What should I consider when buying a phone?,What should I consider when buying a phone?,Considerations when buying a new phone
134,Buying a Phone,1,3,Cool. Which one would you recommend?,Cool. Which smartphone would you recommend for me?,Best smartphone for me
134,Buying a Phone,1,5,Tell me more about the first one.,Tell me more about the Motorola Moto G7 Power.,Overview of the Motorola G7 Power
134,Buying a Phone,1,7,How much cheaper is the A10e?,How much cheaper is the Samsung Galaxy A10e than the Motorola Moto G7 Power?,A cost comparison of the samsung galaxy a10e and the motorola g7 power
134,Buying a Phone,1,9,"Wow, that's almost half the cost! Can you compare them?","Wow, that's almost half the cost of a Samsung Galaxy A10e. Can you compare the Samsung Galaxy A10e with the Motorola Moto G7 Power?",A general comparison of the samsung galaxy a10e and the motorola g7 power
134,Buying a Phone,1,11,Interesting. What makes the G7 so good?,Interesting. What makes the Motorola G7 such a good award-winning phone?,Why is the Motorola Moto G7 power a very good phone?
134,Buying a Phone,1,13,Interesting. Why is the A50 better?,Why is the Samsung Galaxy A50 better than the Moto G7?,Why the samsung galaxy a10e is better than the motorola g7 power
134,Buying a Phone,2,1,I've heard iPhones look and feel great. Should I get one?,I've heard iPhones look and feel great. Should I get an iPhone?,Reasons to get an iPhone
134,Buying a Phone,2,3,Which one should I get?,Which iPhone should I get?,Best iPhone for me
134,Buying a Phone,3,1,"Okay, what other types are out there?","Besides iPhones and Android phones, what other types of phones are out there?",The different types of phones
134,Buying a Phone,3,3,Why not? Aren’t they as good?,Why not?  Aren’t other mobile platforms as good as Android or iOS?,Comparison of other mobile operating systems to Android and iOS
134,Buying a Phone,3,5,That’s more about phones than mobile platforms.,That’s more about phones than mobile platforms.,Comparison of other mobile operating systems to Android and iOS
134,Buying a Phone,4,2,To run most aspects of my day-to-day life.,I would like to run most aspects of my day-to-day life with my new phone.,Considerations when buying a new phone
134,Buying a Phone,4,4,That’s about a watch. What phone should I get?,Your answer is for a watch. What type of phone should I get to run my day-to-day life?,Considerations when buying a new phone
135,Running,1,1,"I took a year-long break from running due to work commitments. Tell me, how do I get back into it?",How do I get back into running after a year-long break due to work commitments?,Getting back into running after a long break
135,Running,1,3,Cool. What exercises can I mix with it?,Cool. What exercises can I mix with running?,Exercises to combine with running
135,Running,1,5,Which ones do you recommend?,What strength exercises do you recommend to mix with running?,Strength exercises to combine with running
